date,open,high,low,close,volume
2026-04-08,185.00,186.50,184.20,185.80,980000
2026-04-09,185.60,187.10,185.10,186.70,995000
2026-04-10,186.50,188.20,186.00,187.90,1010000
2026-04-13,187.80,189.30,187.20,188.60,1025000
2026-04-14,188.40,190.10,187.90,189.50,1030000
2026-04-15,189.60,191.20,189.10,190.40,1045000
2026-04-16,190.20,191.70,189.80,191.00,1050000
2026-04-17,191.10,192.80,190.60,192.40,1065000
2026-04-20,192.50,194.00,192.00,193.20,1080000
2026-04-21,193.40,194.90,192.90,194.10,1095000
2026-04-22,194.20,195.80,193.80,195.20,1110000
2026-04-23,195.00,196.60,194.50,195.90,1125000
2026-04-24,196.10,197.80,195.70,197.20,1140000
2026-04-27,197.40,199.10,196.90,198.60,1155000
2026-04-28,198.70,200.20,198.10,199.40,1170000
2026-04-29,199.20,201.10,198.80,200.80,1185000
2026-04-30,200.90,202.40,200.20,201.70,1200000
2026-05-01,201.50,203.20,201.00,202.60,1215000
2026-05-04,202.80,204.60,202.10,203.90,1230000
2026-05-05,203.70,205.30,203.00,204.60,1245000
2026-05-06,204.50,206.20,204.00,205.80,1260000
2026-05-07,205.60,207.40,205.10,206.90,1275000
2026-05-08,206.80,208.50,206.20,207.70,1290000
2026-05-11,207.60,209.20,207.00,208.60,1305000
2026-05-12,208.70,210.40,208.10,209.80,1320000
2026-05-13,209.60,211.30,209.10,210.90,1335000
2026-05-14,211.00,212.60,210.30,211.70,1350000
2026-05-15,211.80,213.50,211.20,212.90,1365000
2026-05-18,212.70,214.30,212.10,213.80,1380000
2026-05-19,213.90,215.60,213.40,214.70,1395000
2026-05-20,214.60,216.20,214.00,215.50,1410000
2026-05-21,215.40,217.10,214.90,216.80,1425000
2026-05-22,216.70,218.20,216.10,217.60,1440000
2026-05-25,217.50,219.10,217.00,218.40,1455000
2026-05-26,218.30,219.90,217.80,219.10,1470000
