date,open,high,low,close,volume
2026-04-08,35.00,35.60,34.80,35.20,1200000
2026-04-09,35.30,35.90,35.10,35.70,1180000
2026-04-10,35.80,36.40,35.60,36.20,1215000
2026-04-13,36.10,36.70,35.90,36.40,1230000
2026-04-14,36.50,37.10,36.20,36.90,1250000
2026-04-15,36.80,37.30,36.50,37.10,1270000
2026-04-16,37.00,37.60,36.80,37.50,1285000
2026-04-17,37.40,38.00,37.10,37.80,1290000
2026-04-20,37.90,38.50,37.60,38.20,1310000
2026-04-21,38.10,38.70,37.90,38.50,1320000
2026-04-22,38.40,39.10,38.10,38.90,1335000
2026-04-23,38.80,39.30,38.40,39.00,1340000
2026-04-24,39.10,39.80,38.90,39.40,1360000
2026-04-27,39.30,39.90,39.00,39.60,1375000
2026-04-28,39.70,40.20,39.40,39.90,1390000
2026-04-29,39.90,40.50,39.60,40.20,1405000
2026-04-30,40.10,40.80,39.80,40.50,1410000
2026-05-01,40.60,41.20,40.20,40.90,1425000
2026-05-04,40.80,41.50,40.50,41.20,1440000
2026-05-05,41.10,41.80,40.90,41.50,1455000
2026-05-06,41.60,42.10,41.20,41.80,1460000
2026-05-07,41.90,42.50,41.70,42.00,1475000
2026-05-08,42.10,42.70,41.90,42.30,1490000
2026-05-11,42.20,42.90,42.00,42.60,1505000
2026-05-12,42.50,43.10,42.20,42.90,1520000
2026-05-13,42.80,43.40,42.50,43.10,1535000
2026-05-14,43.00,43.70,42.80,43.40,1540000
2026-05-15,43.30,44.00,43.00,43.70,1555000
2026-05-18,43.80,44.30,43.40,43.90,1570000
2026-05-19,43.90,44.60,43.70,44.20,1585000
2026-05-20,44.10,44.80,43.90,44.50,1600000
2026-05-21,44.40,45.00,44.10,44.70,1615000
2026-05-22,44.80,45.30,44.40,44.90,1620000
2026-05-25,44.70,45.20,44.30,44.60,1605000
2026-05-26,44.50,45.10,44.20,44.80,1595000
